surface,capability_group,capability_item,design_required,current_console_state,gateway_northbound_status,client_runtime_status,realtime_status,verdict,priority,notes,evidence,support_bucket,support_detail,active_frontend_entry,active_frontend_state,active_frontend_detail,active_frontend_evidence
Thread Workspace,Turn Control,Start turn,yes,live,implemented,implemented,turn.started;turn.delta;turn.completed;turn.failed,ready,P0,Start turn is a real command path to Codex App Server turn/start.,console/src/design/pages/thread-workspace-page-view.tsx#L184;console/src/gateway/use-thread-workspace.ts#L233;gateway/internal/api/server.go#L818;client/internal/agent/codex/appserver_client.go#L228,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,发送 Prompt 真实触发 Gateway turn start,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Turn Control,Steer active turn,yes,live,implemented,implemented,turn.delta;turn.completed;turn.failed,ready,P0,Steer maps to turn/steer in the client runtime.,console/src/design/pages/thread-workspace-page-view.tsx#L205;console/src/gateway/use-thread-workspace.ts#L270;gateway/internal/api/server.go#L860;client/internal/agent/codex/turns.go#L8,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,Steer 由 Gateway workspace hook 提供并接入 active 工作区,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Turn Control,Interrupt active turn,yes,live,implemented,implemented,turn.completed,ready,P0,Interrupt returns an interrupted turn and clears active turn state.,console/src/design/pages/thread-workspace-page-view.tsx#L218;console/src/gateway/use-thread-workspace.ts#L294;gateway/internal/api/server.go#L904;client/internal/agent/codex/turns.go#L29,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,Interrupt 由 Gateway workspace hook 提供并接入 active 工作区,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Approvals,Respond to approval,yes,live,implemented,implemented,approval.resolved,ready,P0,"Approval responses support accept, decline, cancel, and optional answers.",console/src/design/pages/thread-workspace-page-view.tsx#L145;console/src/gateway/use-thread-workspace.ts#L203;gateway/internal/api/server.go#L941;client/internal/agent/codex/approvals.go#L29,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,审批响应真实调用 Gateway approvals respond 接口,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Realtime Timeline,Stream turn events into timeline,yes,live,implemented,implemented,turn.started;turn.delta;turn.completed;turn.failed,ready,P0,Workspace timeline is event-driven and currently does not preload historical message transcript.,console/src/design/pages/thread-workspace-page-view.tsx#L76;console/src/gateway/use-thread-workspace.ts#L115;gateway/internal/websocket/console_hub.go#L123;client/cmd/client/main.go#L617,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,turn websocket 事件真实驱动当前时间线,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Thread Workspace,Realtime Timeline,Stream approval events into timeline,yes,live,implemented,implemented,approval.required;approval.resolved,ready,P0,Approval cards are inserted inline in the same workspace stream.,console/src/design/pages/thread-workspace-page-view.tsx#L89;console/src/gateway/use-thread-workspace.ts#L131;gateway/internal/websocket/console_hub.go#L146;client/cmd/client/main.go#L676,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,approval websocket 事件真实驱动当前时间线,console/src/gateway/use-thread-workspace.ts;console/src/design-source/components/SessionChat.tsx
Machines,Machine Inventory,List machines,yes,live,implemented,implemented,machine.updated,ready,P1,Machines page currently consumes machine summaries only.,console/src/design/pages/machines-page-view.tsx#L24;console/src/gateway/use-machines-page.ts#L12;gateway/internal/api/server.go#L503,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,local_mock_rendered,Machines 页面展示本地 machinesData,console/src/design-source/App.tsx#L29;console/src/design-source/components/Machines.tsx#L330
Machines,Machine Inventory,Read machine detail,no,not_rendered,implemented,implemented,machine.updated,available_not_used,P2,"Northbound detail endpoint exists and is used by workspace header, not by Machines page.",console/src/gateway/use-thread-workspace.ts#L91;gateway/internal/api/server.go#L507,已具备接口支撑,接口已存在 当前仅被其他页面消费,design_source_app,local_mock_rendered,Machines 页面直接读取本地 machine 对象明细,console/src/design-source/components/Machines.tsx#L381
Machines,Runtime Control,Start runtime,no,not_rendered,implemented,implemented,machine.updated,available_not_used,P2,"Gateway and client already support runtime.start, but the current Machines page does not render this action.",gateway/internal/api/server.go#L521;client/cmd/client/main.go#L1037;console/src/design/pages/machines-page-view.tsx#L24,已具备接口支撑,接口已存在 当前 Machines 页尚未接入,design_source_app,not_in_active_frontend,当前 Machines 页面没有 runtime start 按钮,console/src/design-source/components/Machines.tsx#L365
Machines,Runtime Control,Stop runtime,no,not_rendered,implemented,implemented,machine.updated,available_not_used,P2,"Gateway and client already support runtime.stop, but the current Machines page does not render this action.",gateway/internal/api/server.go#L541;client/cmd/client/main.go#L1017;console/src/design/pages/machines-page-view.tsx#L24,已具备接口支撑,接口已存在 当前 Machines 页尚未接入,design_source_app,not_in_active_frontend,当前 Machines 页面没有 runtime stop 按钮,console/src/design-source/components/Machines.tsx#L365
Machines,Agent Lifecycle,Install agent,yes,disabled_not_connected,implemented,implemented,none,ready,P1,This is not just an absent endpoint: the current domain and runtime model are single-runtime-per-machine and do not model agent instances.,console/src/design/pages/machines-page-view.tsx#L49;console/src/gateway/capabilities.ts#L8;common/domain/machine.go#L14;client/internal/agent/types/interfaces.go#L114;client/cmd/client/main.go#L42,已具备接口支撑,managed agents supervisor 与 northbound API 已落地,design_source_app,gateway_backed_rendered,Machines 页安装 Agent 真实调用 /machines/{machineId}/agents,console/src/design-host/use-console-host.ts;console/src/design-source/components/Machines.tsx
Machines,Agent Lifecycle,Remove agent,yes,disabled_not_connected,implemented,implemented,none,ready,P1,Same structural gap as install agent; there is no Agent instance inventory or lifecycle contract.,console/src/design/pages/machines-page-view.tsx#L50;console/src/gateway/capabilities.ts#L9;common/domain/machine.go#L14;client/internal/agent/types/interfaces.go#L114,已具备接口支撑,managed agents supervisor 与 northbound API 已落地,design_source_app,gateway_backed_rendered,Machines 页删除 Agent 真实调用 /machines/{machineId}/agents/{agentId},console/src/design-host/use-console-host.ts;console/src/design-source/components/Machines.tsx
Environment,Skills,List skills,yes,live,implemented,implemented,resource.changed,ready,P1,Skills are indexed from environment snapshots and surfaced with detail payloads.,console/src/design/pages/environment-page-view.tsx#L370;console/src/gateway/use-environment-page.ts#L55;gateway/internal/api/server.go#L1015;client/internal/agent/codex/environment.go#L21,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,local_mock_rendered,环境页读取本地 skills 数组 初始为空,console/src/design-source/App.tsx#L35;console/src/design-source/components/Environment.tsx#L177
Environment,Skills,Enable or disable skill,yes,live,implemented,implemented,resource.changed,ready,P1,Skill mutation is a real command path to skills/config/write.,console/src/design/pages/environment-page-view.tsx#L68;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1027;client/internal/agent/codex/environment.go#L118,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 skill enable/disable,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,MCP,List MCP servers,yes,live,implemented,implemented,resource.changed,ready,P1,MCP inventory and config details are read from Codex App Server plus config/read.,console/src/design/pages/environment-page-view.tsx#L371;console/src/gateway/use-environment-page.ts#L55;gateway/internal/api/server.go#L1019;client/internal/agent/codex/environment.go#L55,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,local_mock_rendered,环境页读取本地 mcps 数组 初始为空,console/src/design-source/App.tsx#L36;console/src/design-source/components/Environment.tsx#L265
Environment,MCP,Add or edit MCP server,yes,live,implemented,implemented,resource.changed,ready,P1,Current northbound path is POST /environment/mcps for both create and update.,console/src/design/pages/environment-page-view.tsx#L307;console/src/gateway/use-environment-page.ts#L154;gateway/internal/api/server.go#L1128;client/internal/agent/codex/environment.go#L132,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 MCP create/update,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,MCP,Enable or disable MCP server,yes,live,implemented,implemented,resource.changed,ready,P1,Enable and disable are distinct endpoints but share one runtime manager contract.,console/src/design/pages/environment-page-view.tsx#L80;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1159;client/internal/agent/codex/environment.go#L168,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 MCP enable/disable,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,MCP,Delete MCP server,yes,live,implemented,implemented,resource.changed,ready,P1,Delete is a real remove and snapshot refresh path.,console/src/design/pages/environment-page-view.tsx#L88;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1227;client/internal/agent/codex/environment.go#L145,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 MCP delete,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,Plugins,List plugins,yes,live,implemented,implemented,resource.changed,ready,P1,Plugin list includes marketplace metadata and optional detail payloads.,console/src/design/pages/environment-page-view.tsx#L385;console/src/gateway/use-environment-page.ts#L55;gateway/internal/api/server.go#L1023;client/internal/agent/codex/environment.go#L78,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,local_mock_rendered,环境页读取本地 plugins 数组 初始为空,console/src/design-source/App.tsx#L37;console/src/design-source/components/Environment.tsx#L311
Environment,Plugins,Install plugin,yes,live,implemented,implemented,resource.changed,ready,P1,Install depends on plugin detail fields already present in environment resource details.,console/src/design/pages/environment-page-view.tsx#L96;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1260;client/internal/agent/codex/environment.go#L193,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页的 plugin install 已改成真实 install 语义,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,Plugins,Enable or disable plugin,yes,live,implemented,implemented,resource.changed,ready,P1,Enablement is config-backed and marks restartRequired when needed.,console/src/design/pages/environment-page-view.tsx#L107;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1301;client/internal/agent/codex/environment.go#L213,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 plugin enable/disable,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,Plugins,Uninstall plugin,yes,live,implemented,implemented,resource.changed,ready,P1,Uninstall is fully wired and reflected back through resource.changed.,console/src/design/pages/environment-page-view.tsx#L114;console/src/gateway/use-environment-page.ts#L128;gateway/internal/api/server.go#L1095;client/internal/agent/codex/environment.go#L235,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页支持真实 plugin uninstall,console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
Environment,Disconnected Controls,Sync skill catalog,yes,disabled_not_connected,missing,missing,none,out_of_scope_current_ui,P2,The design intentionally shows this as disconnected and current Console code does not call any API for it.,console/src/design/pages/environment-page-view.tsx#L286;console/src/gateway/capabilities.ts#L10,迭代后可具备,需补 northbound 和 client 目录同步语义,design_source_app,not_in_active_frontend,当前环境页没有该按钮,console/src/design-source/components/Environment.tsx#L203
Environment,Disconnected Controls,Restart MCP bridge,yes,disabled_not_connected,missing,missing,none,out_of_scope_current_ui,P2,The current UI explicitly labels this control as not connected.,console/src/design/pages/environment-page-view.tsx#L293;console/src/gateway/capabilities.ts#L11,迭代后可具备,需补 bridge 生命周期命令,design_source_app,not_in_active_frontend,当前环境页没有该按钮,console/src/design-source/components/Environment.tsx#L203
Environment,Disconnected Controls,Open plugin marketplace,yes,disabled_not_connected,missing,missing,none,out_of_scope_current_ui,P2,The current UI explicitly labels this control as not connected.,console/src/design/pages/environment-page-view.tsx#L299;console/src/gateway/capabilities.ts#L12,迭代后可具备,需先明确 marketplace 数据源和接口语义,design_source_app,not_in_active_frontend,当前环境页没有该按钮,console/src/design-source/components/Environment.tsx#L203
Settings,Config Catalog,List supported agent types,yes,live,implemented,implemented,none,ready,P1,Current system exposes only codex as a supported agent type.,console/src/design/pages/settings-page-view.tsx#L104;console/src/gateway/use-settings-page.ts#L37;gateway/internal/api/server.go#L298;common/domain/config.go#L3,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实读取 /settings/agents,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Global Config,Read global default config,yes,live,implemented,implemented,none,ready,P1,Global config is stored in Gateway settings store.,console/src/design/pages/settings-page-view.tsx#L136;console/src/gateway/use-settings-page.ts#L69;gateway/internal/api/server.go#L302,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实读取 global default,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Global Config,Save global default config,yes,live,implemented,implemented,none,ready,P1,Gateway validates TOML before persisting.,console/src/design/pages/settings-page-view.tsx#L160;console/src/gateway/use-settings-page.ts#L133;gateway/internal/api/server.go#L320;client/internal/agent/codex/config_apply.go#L32,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实保存 global default,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Machine Override,Read machine override assignment,yes,live,implemented,implemented,none,ready,P1,"Assignment response includes globalDefault, machineOverride, and usesGlobalDefault.",console/src/design/pages/settings-page-view.tsx#L170;console/src/gateway/use-settings-page.ts#L94;gateway/internal/api/server.go#L352;common/domain/config.go#L26,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实读取 machine override,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Machine Override,Save machine override,yes,live,implemented,implemented,none,ready,P1,Gateway stores the override document but does not merge fields with global default.,console/src/design/pages/settings-page-view.tsx#L194;console/src/gateway/use-settings-page.ts#L163;gateway/internal/api/server.go#L389,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实保存 machine override,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Machine Override,Delete machine override,yes,live,implemented,implemented,none,ready,P1,Delete falls back to using the global default for the selected machine.,console/src/design/pages/settings-page-view.tsx#L203;console/src/gateway/use-settings-page.ts#L195;gateway/internal/api/server.go#L426,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实删除 machine override,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Config Delivery,Apply effective config to machine,yes,live,implemented,implemented,none,ready,P1,Apply sends the chosen document to the target machine and writes Codex config.toml there.,console/src/design/pages/settings-page-view.tsx#L211;console/src/gateway/use-settings-page.ts#L212;gateway/internal/api/server.go#L444;client/internal/agent/codex/config_apply.go#L12,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Settings 页真实 apply config 到机器,console/src/design-source/components/Settings.tsx;console/src/gateway/use-settings-page.ts
Settings,Disconnected Controls,Edit gateway endpoint,yes,disabled_not_connected,implemented,not_required,none,ready,P2,The design intentionally renders this card as disconnected.,console/src/design/pages/settings-page-view.tsx#L64;console/src/gateway/capabilities.ts#L15,已具备接口支撑,settings/console 已持久化 Console URL 并接入 active Settings UI,design_source_app,gateway_backed_rendered,Gateway Endpoint 卡片现在可聚焦到持久化的 Console URL 表单,console/src/design/pages/settings-page-view.tsx;console/src/design-source/components/Settings.tsx
Settings,Disconnected Controls,Edit console profile,yes,disabled_not_connected,implemented,not_required,none,ready,P2,The design intentionally renders this card as disconnected.,console/src/design/pages/settings-page-view.tsx#L71;console/src/gateway/capabilities.ts#L16,已具备接口支撑,settings/console 已持久化 Console Profile 并接入 active Settings UI,design_source_app,gateway_backed_rendered,Console Profile 卡片现在可聚焦到持久化的 Profile 表单,console/src/design/pages/settings-page-view.tsx;console/src/design-source/components/Settings.tsx
Settings,Disconnected Controls,Edit safety policy,yes,disabled_not_connected,implemented,not_required,none,ready,P2,The design intentionally renders this card as disconnected.,console/src/design/pages/settings-page-view.tsx#L77;console/src/gateway/capabilities.ts#L17,已具备接口支撑,settings/console 已持久化 Safety Policy 并接入 active Settings UI,design_source_app,gateway_backed_rendered,Safety Policy 卡片现在可聚焦到持久化的 Safety Policy 表单,console/src/design/pages/settings-page-view.tsx;console/src/design-source/components/Settings.tsx
Cross-Cutting,Capability Policy,Expose capability snapshot from Gateway,no,frontend_hardcoded,implemented,not_required,none,ready,P1,Current Console still hardcodes capability flags locally; there is no /capabilities endpoint yet.,console/src/gateway/capabilities.ts#L1;docs/superpowers/plans/2026-04-12-gateway-capability-gap.md#L22,已具备接口支撑,/capabilities 已落地并被 active Console 消费,design_source_app,gateway_backed_rendered,active host 启动时真实拉取 capability snapshot,gateway/internal/api/server.go;console/src/gateway/capabilities.ts
Cross-Cutting,Realtime,Broadcast machine.updated,yes,live,implemented,implemented,machine.updated,ready,P0,Machine snapshots are normalized into northbound machine.updated events.,console/src/gateway/use-thread-workspace.ts#L121;console/src/gateway/use-machines-page.ts#L39;gateway/internal/websocket/client_hub.go#L576;gateway/internal/websocket/client_hub.go#L837,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active host 已消费 machine.updated 事件,console/src/gateway/use-thread-hub.ts;console/src/gateway/use-thread-workspace.ts
Cross-Cutting,Realtime,Broadcast thread.updated,yes,live,implemented,implemented,thread.updated,ready,P0,Thread snapshots and thread lifecycle commands both generate thread.updated.,console/src/gateway/use-thread-hub.ts#L47;gateway/internal/websocket/client_hub.go#L599;gateway/internal/websocket/client_hub.go#L852,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active host 已消费 thread.updated 事件,console/src/gateway/use-thread-hub.ts;console/src/gateway/use-thread-workspace.ts
Cross-Cutting,Realtime,Broadcast resource.changed,yes,live,implemented,implemented,resource.changed,ready,P1,Environment page relies on resource.changed to trigger a reload after mutations.,console/src/gateway/use-environment-page.ts#L89;gateway/internal/websocket/client_hub.go#L613;gateway/internal/websocket/client_hub.go#L865,已具备接口支撑,Gateway 与 Client 已形成真实调用链路,design_source_app,gateway_backed_rendered,active Environment 页已消费 resource.changed 事件,console/src/gateway/use-environment-page.ts
Cross-Cutting,Metrics,Overview metrics snapshot,no,live,implemented,implemented,none,ready,P3,"There is no Overview route in the current imported Console surface, so metrics are not a current blocking dependency.",console/src/app/router.tsx#L9;console/src/gateway/capabilities.ts#L21,已具备接口支撑,/overview/metrics 与 active /overview 页面已落地,design_source_app,gateway_backed_rendered,active Console 通过 /overview 路由展示 Gateway overview metrics,gateway/internal/api/server.go;console/src/design-host/use-console-host.ts;console/src/design-source/components/Overview.tsx
Cross-Cutting,Workspace Continuity,Restore last active thread on Console open,no,live,implemented,not_required,none,ready,P3,"The spec mentioned this, but the current routed Console code does not implement recent-thread restore on either frontend or Gateway.",console/src/app/router.tsx#L9;docs/superpowers/specs/2026-04-11-thread-first-console-design.md#L69,已具备接口支撑,lastThreadId 已通过 settings/console 持久化并在 active host 恢复,design_source_app,gateway_backed_rendered,active host 启动后会恢复上次成功加载的线程,console/src/design-host/use-console-host.ts;console/src/gateway/use-console-preferences.ts
Thread Hub,Session Management,Rename session,yes,live,implemented,not_required,none,ready,P2,当前左侧线程项支持重命名 但只是本地更新 machinesData 中的 session title。,console/src/design-source/App.tsx#L55;console/src/design-source/components/ThreadItem.tsx#L40,已具备接口支撑,PATCH /threads/{threadId} 已落地并接入 active thread list rename,design_source_app,gateway_backed_rendered,左侧线程项重命名真实调用 Gateway thread rename,gateway/internal/api/server.go;console/src/gateway/use-thread-hub.ts;console/src/design-source/components/ThreadItem.tsx
Machines,Agent Lifecycle,Edit agent config,yes,local_mock_rendered,implemented,implemented,none,ready,P2,当前 Machines 页面可弹出 TOML 编辑框 但保存只走 console.log。,console/src/design-source/App.tsx#L117;console/src/design-source/components/Machines.tsx#L240,已具备接口支撑,per-agent config API 与 active Machines UI 已落地,design_source_app,gateway_backed_rendered,Machines 页编辑 Agent 配置真实调用 per-agent config 接口,console/src/design-host/use-console-host.ts;console/src/design-source/components/Machines.tsx
Environment,Skills,Add skill,yes,local_mock_rendered,implemented,implemented,none,ready,P2,当前环境页支持本地新增 skill 记录 不是 Gateway skill 安装或发布能力。,console/src/design-source/App.tsx#L135;console/src/design-source/components/Environment.tsx#L21,已具备接口支撑,skill scaffold create 已打通 northbound/southbound/active UI,design_source_app,gateway_backed_rendered,active Environment 页新增 skill 真实创建远端 skill scaffold,gateway/internal/api/server.go;client/internal/agent/codex/environment.go;console/src/gateway/use-environment-page.ts
Environment,Skills,Delete skill,yes,local_mock_rendered,implemented,implemented,none,ready,P2,当前环境页支持本地删除 skill 记录 不是 Gateway skill 删除能力。,console/src/design-source/App.tsx#L201;console/src/design-source/components/Environment.tsx#L250,已具备接口支撑,skill scaffold delete 已打通 northbound/southbound/active UI,design_source_app,gateway_backed_rendered,active Environment 页删除 skill 真实删除远端 skill scaffold,gateway/internal/api/server.go;client/internal/agent/codex/environment.go;console/src/gateway/use-environment-page.ts
Environment,Plugins,Add plugin record,yes,local_mock_rendered,implemented,implemented,none,ready,P2,当前环境页支持本地新增 plugin 记录 输入的是名称和版本 不是 marketplace install。,console/src/design-source/App.tsx#L179;console/src/design-source/components/Environment.tsx#L383,已具备接口支撑,add plugin record 已规范成真实 plugin install 语义,design_source_app,gateway_backed_rendered,active Environment 页新增 plugin 真实触发 plugin install,gateway/internal/api/server.go;console/src/gateway/use-environment-page.ts;console/src/design/pages/environment-page-view.tsx
